"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"937","Stellar Sphere","May 25, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Titan Deep Space Company","Titan Deep Space Company"
"938","Ping Pong Trick Shot EVOLUTION","Mar 18, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SIMS Co., Ltd.","SIMS Co., Ltd."
"939","eCrossminton","Jul 10, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Daydream Software","Daydream Software"
"940","Big Boot Baseball","Apr 3, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zero Brain, LLC","Zero Brain, LLC"
"941","Drumpfy Walls","Apr 19, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hotbox Garage","Hotbox Garage"
"942","Nebulas Lasso","Aug 2, 2019","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","STON Games","STON Games"
"943","Blockey: Block Yeah!","Sep 27, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Walking Talking Grilling Bear","Walking Talking Grilling Bear"
"944","Future Pool","Dec 20, 2019","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cornutopia Software","Cornutopia Software"
"945","Cube Smash","Sep 19, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vojtech Ondracek","Artin studios"
"946","Gravinoid","Feb 20, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hypersome Games","Hypersome Games"
"947","Classic Card Game Mahjong","Jan 25, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Webfoot","Encore Software LLC"
"948","Purple Saturn Day","Sep 1, 1989","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ERE Informatique","Ziggurat"
"949","Extreme Social Distancing","May 18, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Daniel Lewis","TheNewTropic"
"950","Game of Drones","May 6, 2020","$3.97","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Game of Drones","Game of Drones"
"951","Matrix Blocks","Jun 18, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NetDinamica","NetDinamica"
"952","Beaver Fun River Run - Steam Edition","Jun 26, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Soul of SysOp LLC","Soul of SysOp LLC"
"953","Shuffs","Jun 29, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kyle Hosking","No Relation Games"
"954","Down the River","Jan 20, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Heye Everts","Heye Everts"
"955","MagicalGirl Mimi","Aug 12, 2020","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nacks Soft","Nacks Soft"
"956","Spike Match","Nov 30, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Noveplay","Noveplay"
"957","Snaaker & Friends","Dec 14, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Retro Dragon Games","Retro Dragon Games"
"958","Space Sprinter VR","Dec 15, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","K3I","K3I"
"959","Toxik aim trainer","Dec 26, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","REO Studios","REO Studios"
"961","Fast Break","Mar 5, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Accolade","Ziggurat"
"962","TKO","Mar 5, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Accolade","Ziggurat"
"963","COMBOHEAD","Apr 5, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","namleets","namleets"
"964","Asterism Basketball","May 10, 2021","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tadeusz Lorkowski","Tadeusz Lorkowski"
"965","Galaxy Drift","Nov 17, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","JustusGames","JustusGames"
"966","Oval Racer Series - Sandbox","Nov 19, 2021","$15.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Oval Games","Oval Games"
"968","Dinoland","Sep 12, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Canmaru","RealBlocks"
"969","Battle Arena Soccer","Sep 11, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tuga Studios","Tuga Studios"
"970","Destroying The Asteroids (Along With Unfair Hurdles)","Oct 25, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mukesh Shukla","Mukesh Shukla"
"971","Crazy Athletics - Summer Sports & Games","Dec 2, 2021","$15.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Crazysoft Limited","Crazysoft Limited"
"972","Hot Roads","Nov 26, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","QuickBobber","QuickBobber"
"973","VR Async Balls","Jan 10, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Aviahel","Aviahel"
"974","Bouldering Robot 3D","Mar 3, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NoraPerikaProject","NoraPerikaProject"
"975","Jump Like An Egyptian","Feb 25, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tamashii","Tamashii"
"976","TRICK SHOT","Mar 23, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PLEXUS GAME","PLEXUS GAME"
"977","Wildfox Surfing Paradise","Jun 28, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Niklas Riewald","Niklas Riewald"
"978","PongBreak","Jan 2, 2025","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Q","Q Games"
"979","Advanced Chess/Traditional","Jun 20, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eric Curtis","American Catur LLC"
"981","Bash Sports Online Bowling","Jul 21, 2024","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bash Game Studio, Doux Gaming","Bash Game Studio"
"982","狠斗篮球","Sep 7, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","魔导力科技","魔导力科技"
"983","Fists of Stone","Oct 6, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OC Software Solutions","OC Software Solutions"
"984","Fastraq","Dec 13, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rahul Khanna","Rahul Khanna"
"985","SpaceBoots","Jan 3, 2024","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bjorn Hansen","Papa Bear Games"
"987","Crazy World VR","Dec 21, 2022","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pixelity Inc.","Pixelity Inc."
"988","Super Cycle (C64/CPC/Spectrum)","Dec 20, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Epyx, Inc.","Pixel Games UK"
"989","Tour de Force (CPC/Spectrum)","Feb 23, 2023","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gremlin Graphics","Pixel Games UK"
"991","The Paper Arcade","May 1, 2023","$5","N/A (N/A)","0 .. 20,000","00:00 (00:00)","3ichael 7ambert, A Rocket’s Intensity","3ichael 7ambert"
"992","Kikstart: Off-Road Simulator (C64/C128)","May 4, 2023","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mr Chip Software","Pixel Games UK"
"994","BOM BOM BOMBIAN  ～ ボン ボン ボンビアン ～","May 1, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","logicalbeat Co., Ltd.","logicalbeat Co., Ltd."
"995","Hoop City Manager","May 26, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Texas Athanas","Texas Athanas"
"996","Rafting Frenzy","Jun 23, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LGV","LGV"
"997","Street Sports Baseball","Jun 20, 2023","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Epyx, Inc.","Pixel Games UK"
"998","PIN CRASHER","Aug 22, 2023","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FULL STEAM STUDIOS, byXToGo","FULL STEAM STUDIOS"
"999","HamsterBall Soccer","Jul 27, 2023","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shinjo Games","Shinjo Games"
"1000","Balloons","Oct 16, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FatCoke","FatCoke"
"1001","Trippy's Disc Golf","Jan 8, 2024","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Paul Cooper","Paul Cooper"
"1002","The Adventures of Bruce Flea","Aug 11, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hyperculture Studios, Backalleytoonzllc","Backalleytoonz llc"
"1003","Air Hockey VR","Dec 24, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Christian Perri","Poligames Studio"
"1004","Superior IQ","Jul 30, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Szatkowsky","Szatkowsky"
"1005","Rally Rock 'N Racing","Oct 6, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Super PowerUp Games","Super PowerUp Games"
"1006","Possibly Endless Golf","Sep 5, 2023","$1.59","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Anefiox","Anefiox"
"1007","Real Boxing: Steel Champions VR","Sep 22, 2023","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chun Y.","Chun Y."
"1008","Rock 'N Racing Off Road DX","Dec 25, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Super PowerUp Games","Super PowerUp Games"
"1009","Race Manager","Oct 2, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Houbi Game","Houbi Game"
"1010","Voodoo Strikers","Nov 13, 2024","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cokoon Games Lab","Cokoon Games Lab"
"1011","猛男跑酷（Strong man parkour）","Oct 12, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","XMR","XMR"
"1012","KIKEN Drive (2nd Lap)","Nov 5, 2024","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","YonRoku","YonRoku"
"1013","Hidden Series 2","Nov 30, 2023","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nivnan","Nivnan"
"1014","Rugby League Riot","Nov 12, 2023","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Morkz DeLorean, J Simeti","J Simeti"
"1015","Slam Dunk Basketball","Dec 7, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","3DI LLC","3DI LLC"
"1016","Grand Prix Rock 'N Racing","Mar 1, 2024","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Super PowerUp Games","Super PowerUp Games"
"1017","Bombcapsule","Dec 26, 2023","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mr.Bottleneck","Mr.Bottleneck"
"1019","Kill Ball","Jan 5, 2024","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zac Smith","Zac Smith"
"1021","world of dark","Feb 7, 2024","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","world of dark","world of dark"
"1022","Galactic Gauntlet: The Ultimate Interstellar Challenge","Feb 14, 2024","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dads In Dungeons Studios","Dads In Dungeons Studios"
"1023","DudeGo","Feb 28, 2024","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FussyCraft","FussyLand"
"1024","Winter Games Challenge","Mar 12, 2024","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Joindots GmbH, Nementic Games","Markt+Technik Verlag GmbH"
"1025","GeoBoxer","Feb 22, 2025","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Phenomaker","Phenomaker"
"1026","Forest Showdown：Cat Hero Battle","May 29, 2024","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dinosaur workshop","Dinosaur workshop"
"1027","Amazing Curves Racing","Dec 24, 2024","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brightland Florida Corporation","Brightland Florida Corporation"
"1028","Real Kart","May 22, 2024","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Aglobex","Aglobex"
"1030","Kiteboarding","Jul 17, 2024","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","baKno Games","baKno Games"
"1031","Incredifall","Jul 11, 2024","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Incredifall.com","Incredifall.com"
"1032","Faster Than Bolt","Jul 26, 2024","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Super PowerUp Games","Super PowerUp Games"
"1033","Beatrect","Aug 11, 2024","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Farseer","Farseer"
"1034","Average Human Ball Game","Aug 16, 2024","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Magnus Alferes, Adam Day","Adam Day"
"1035","Let's Aim! Shooting Gallery","Aug 5, 2024","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SAT-BOX","SAT-BOX"
"1036","AERO BATTLE ROYALE","Aug 9, 2024","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SDASSTUDIO","SDASSTUDIO"
"1037","Smoots Summer Games II","Dec 12, 2024","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kaneda Games","JanduSoft"
"1038","I Hate Balloons VR","Aug 27, 2024","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dariusz Wdowczyk","Dariusz Wdowczyk"
"1039","Sports Hero","Jul 31, 2024","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cherry Pick Games","Cherry Pick Games, Plug In Digital"
"1040","Extreme Overtake","Dec 7, 2024","$15.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","daminggede","daminggede"
"1041","In A Wheel","Nov 12, 2024","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ElyDev","Capricornio TV"
"1042","Bouncy Escape","Mar 7, 2025","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Daniel Sitkiewicz","Daniel Sitkiewicz"
"1043","SWIFT STRIDERS PARKOUR","Jan 30, 2025","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","kc6067","kc6067"
"1044","Crush Lab","Dec 16, 2024","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Two Men and a Cat","Two Men and a Cat"
"1045","Retro Soccer","Mar 18, 2025","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Plastic Cow Games","Plastic Cow Games"
"1046","Dodgeball Circuit","Dec 6, 2024","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Anverse Games","Anverse Games"
"1047","The Killer Pass: Season 1","Jan 20, 2025","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hi-Develop","Hi-Develop"
"1048","Fitness: Lifestyle","Jan 28, 2025","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nu Scorpii Entertainment","Nu Scorpii Entertainment"
"1049","Mountain Legends 5","Jan 31, 2025","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MD MEHEDI HASAN MISHU","AndroidGameZoneBd"
"1050","SlimeIsland","Feb 4, 2025","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ZHOU YANG","ZHOU YANG"
"1051","Cacophony","Feb 23, 2025","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cacophony","Cacophony"
"1052","ULTRA X-TREME HUNTING SIMULATOR 2001","Feb 28, 2025","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Skeleton Crew","Skeleton Crew"
"1053","Motorcross Simulator","Mar 10, 2025","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","rider","rider"
"1054","VR Dunk Assistant","Mar 19, 2025","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","夜行者, night walker","夜行者"
"1055","Fishing Master Kitty","Apr 21, 2025","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","0cd studio","0cd studio"
"1056","Teratini VR","Dec 21, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shiny Moss","Shiny Moss"
"1057","Brawlerz Arena","May 27, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bail! Enemy Jet!","Bail! Enemy Jet!"
"1058","Disc League","May 17, 2017","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Virtually Invincible LLC","Virtually Invincible LLC"
"1059","The Climber","Sep 7, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Felipe Nicolazzi","Nib Games"
"1060","More Than Just Chess","Nov 3, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","More Than Just Chess","More Than Just Chess"
"1061","HeadSquare - Multiplayer VR Ball Game","Nov 28, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Made In Holo","Made In Point"
"1062","Log Challenge","Jan 4, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CGPills","CGPills"
"1064","Teck Boxing 3D","Oct 17, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tonye Amienyo","Tonye Amienyo"
"1065","Actual Volleyball","Nov 28, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Average Games","Average Games"
"1066","VR Cricket","Dec 27, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hunter Games","Hunter Software"
"1067","Zumou Battoru","Jun 11, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DreamlessHero","DreamlessHero"
"1068","Funny Road Chase Simulator","Sep 5, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Polantronic","Polantronic"
"1069","KENDO","Oct 11, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VSTECHNOLOGIES","VSTECHNOLOGIES"
"1070","Classic Card Game Go Fish","Jan 25, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Webfoot","Encore Software LLC"
"1071","Early Quest","Sep 24, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Exa_Inc","Exa_Inc"
"1073","Sparks - Episode One","Jul 18, 2021","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Trapezium Development Studio","Trapezium Development Studio"
"1074","VR Basketball Hoops","Aug 5, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Saturn VR","Saturn VR , NipsApp Gaming Software"
"1075","KnockDown","Mar 3, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Taure Games","Taure Games"
"1079","Magic Disc Golf","Dec 20, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Synthetic Forms","Synthetic Forms"
"1080","幻梦之城(C T O D)","Feb 10, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","zhi wen zhang","zhi wen zhang"
"1081","VR Dodgeball Trainer","Apr 30, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Grounded","Clique Games"
"1082","Ragdoll Funhouse","Jun 10, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Birdmask Studio LTD","Birdmask Studio LTD"
"1083","Highway Driving","Jun 16, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yash Future Tech Solutions Pvt Ltd","Yash Future Tech Solutions Pvt Ltd"
"1084","CBS: Escape from the Mall 3D","Jun 9, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sim-plistic Studio","Sim-plistic Studio"
"1085","Saber Ship","Aug 26, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","苍赤游戏","苍赤游戏"
"1086","Tuning Champions","Sep 30, 2022","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GrogoxGames","GrogoxGames"
"1087","Live Cycling Manager 2022 (2023 Season Update)","Sep 20, 2022","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Xagu Studios","Xagu Studios"
"1088","RCPG","Oct 13, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gorillas Code","Gorillas Code"
"1089","一本橋ワタル","Oct 13, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VTDevelopers","VTDevelopers"
"1090","Open Course","Oct 20, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Dev","Join Game"
"1091","Motorcycle Racing VR","Dec 1, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mr Torrance Games","Mr Torrance Games"
"1092","Simulators2023","Dec 11, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Deeber","Deeber"
"1094","The Rocket Jumper","Jan 27, 2023","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","JnN","JnN"
"1096","SNWBRD: Freestyle Snowboarding","Feb 6, 2023","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gaming Limited","Gaming Limited"
"1097","RealFighter","Feb 12, 2023","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gaming Limited","Gaming Limited"
"1098","8-Ball Pocket","Mar 3, 2023","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Super PowerUp Games","Super PowerUp Games"
"1100","Doomsday Derby","Jun 27, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LFR games","LFR games"
"1101","Small World Of Golf","May 17, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blog Hoarder","Blog Hoarder"
"1102","Flat Spot","Nov 29, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Marciman Game Creations","Marciman Game Creations"
"1103","KOLOSS","Nov 25, 2024","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Breakpoint One, Simmation","Breakpoint One"
"1104","Axe Party VR","Nov 30, 2023","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zac Strong","Zac Strong"
"1105","Differlands","Jul 28, 2023","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","INHIVE","INHIVE"
"1106","Hoops World","Jan 23, 2024","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Snazzy Goldfish","Snazzy Goldfish"
"1107","Baby Climbing","Sep 29, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Little Dog","Little Dog"
"1108","Hidden Space Top-Down 3D","Oct 15, 2023","$119.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Top-Down Games","Hede"
"1109","Hidden World War II Top-Down 3D","Oct 15, 2023","$119.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Top-Down Games","Hede"
"1110","Zombie Rooms","Nov 6, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Digital Kingdom","Digital Kingdom"
"1111","Brazil Fencing Club VR","Dec 3, 2023","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CounterParry","CounterParry"
"1112","A Chocolate World","Dec 4, 2023","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","gregorio lananna","gregorio lananna"
"1113","Magnavody","Dec 5, 2023","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Classyk Games","Classyk Games"
"1114","Extreme Rally Raid","May 23, 2024","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Punto Simu Studios","Punto Simu Studios"
"1115","GymFistprint","Jan 8, 2024","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","devKuroro","devKuroro"
"1116","Escortina Life! 2.0","Aug 16, 2024","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jaano Krapu, Rasmus Lumijärvi","Nuclear Maniacs"
"1117","BMX Gravel","Jan 31, 2024","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Imaginings Software","Imaginings Software"
"1118","Friendly Snowball","Feb 5, 2024","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bebop Games","Bebop Games"
"1119","HardBall! + HardBall II","Feb 15, 2024","$5.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Distinctive Software, Accolade, Big Boat Interactive","Atari"
"1120","Speed NFL","Mar 1, 2024","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chris Prince","Chris Prince"
"1121","Football: Breakthrough Gaming Arcade","Mar 31, 2024","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Breakthrough Gaming LLC","Breakthrough Gaming LLC"
"1122","Motus Paintball VR","Oct 1, 2024","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ares Softworks, LLC","Ares Softworks, LLC"
"1123","Tower Defense: Goblin Wars","Sep 27, 2024","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yusuf Islam Seyhan, Samet Acar","Inspector Studios"
"1124","Soccer Pro Simulator","Mar 3, 2025","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hard Shark Games","Hard Shark Games"
"1125","Foxyball","Nov 13, 2024","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hayen Games","Hayen Games"
"1126","Xtreme Club Racing","Nov 28, 2024","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","furiousDevPhoenix","furiousDevPhoenix"
"1127","The Rise of the Hero","Jan 9, 2025","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Glindeni SA","glindeni sa"
"1128","Crazy Golf Party","Mar 1, 2025","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Crusade","Crusade"
"1129","8 Ball Kings","Mar 19, 2025","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"1130","Launch Dude","Apr 10, 2025","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ODYSA GAMES","ODYSA GAMES"
"1131","ATV Quadracer Ultimate","Nov 18, 2016","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","magnussoft","magnussoft"
"1132","Ancient Code VR( The Fantasy Egypt Journey)","Jul 1, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ED","ED"
"1133","Baseball Kings VR","Apr 11, 2018","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Appnori Inc.","Appnori Inc."
"1134","Ball Driver","Mar 2, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Potato Games","Potato Games"
"1135","Super Darts VR","Nov 14, 2018","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Octamon Co., Ltd.","Octamon Co., Ltd."
"1136","Super Keepy Ups","Dec 14, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Super Regular Guy","Super Regular Guy"
"1137","Lucky Skiing","Nov 11, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","哈视奇科技","哈视奇科技"
"1138","CricVRX - VR Cricket","Jul 3, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rational Verx","Skippy Apps PTY LTD"
